1.000000e+00	1.315807e-05	6
1.414214e+00	2.342350e-06	12
1.732051e+00	1.285207e-06	8
2.000000e+00	1.196788e-06	6
2.236068e+00	2.131933e-06	24
2.449490e+00	1.808164e-06	24
2.828427e+00	1.695660e-06	12
3.000000e+00	1.188657e-06	30
3.162278e+00	7.151964e-07	24
3.316625e+00	9.064261e-07	24
3.464102e+00	5.576319e-07	8
3.605551e+00	4.740201e-07	24
3.741657e+00	6.544396e-07	48
4.000000e+00	5.034165e-07	6
4.174335e+00	4.123767e-07	84
4.358899e+00	4.966837e-07	24
4.472136e+00	4.180830e-07	24
4.618522e+00	4.007397e-07	72
4.898979e+00	3.307621e-07	24
5.069896e+00	3.108191e-07	102
5.196152e+00	1.864769e-07	32
5.421989e+00	2.669230e-07	120
5.656854e+00	3.722163e-07	12
5.830531e+00	2.010223e-07	144
6.036783e+00	1.937666e-07	54
6.204449e+00	1.637633e-07	96
6.447345e+00	1.789862e-07	168
6.720420e+00	1.441086e-07	144
7.036954e+00	1.141794e-07	146
7.272817e+00	1.452058e-07	240
7.590689e+00	9.607405e-08	192
7.846683e+00	1.026168e-07	168
8.126485e+00	1.053105e-07	270
8.397434e+00	1.054583e-07	228
8.700004e+00	9.270591e-08	344
9.081104e+00	8.045814e-08	342
9.413987e+00	7.158489e-08	456
9.815865e+00	6.208187e-08	396
1.014899e+01	5.879661e-08	486
1.053491e+01	5.187224e-08	560
1.092686e+01	5.037905e-08	558
1.133255e+01	4.270113e-08	708
1.173310e+01	3.899425e-08	672
1.221188e+01	3.798746e-08	998
1.269859e+01	3.390870e-08	924
1.316579e+01	3.064888e-08	1014
1.361357e+01	2.700380e-08	1064
1.414482e+01	2.585056e-08	1434
1.468410e+01	2.500111e-08	1440
1.523750e+01	2.103523e-08	1662
1.582845e+01	2.057618e-08	1898
1.642295e+01	1.755225e-08	2040
1.705747e+01	1.582136e-08	2378
1.769077e+01	1.599201e-08	2430
1.834599e+01	1.459244e-08	2964
1.906133e+01	1.294986e-08	3278
1.978621e+01	1.137474e-08	3618
2.051892e+01	1.040009e-08	3896
2.130749e+01	9.251174e-09	4770
2.212733e+01	8.767256e-09	4902
2.294421e+01	8.167216e-09	5522
2.380883e+01	7.354633e-09	6402
2.472128e+01	6.926634e-09	7118
2.564765e+01	6.203580e-09	7634
2.662136e+01	5.754884e-09	9090
2.762866e+01	5.213098e-09	9566
2.866563e+01	4.940285e-09	11034
2.974978e+01	4.426779e-09	12290
3.087711e+01	4.155354e-09	13706
3.202818e+01	3.724123e-09	14970
3.322964e+01	3.414404e-09	17198
3.448812e+01	3.279781e-09	19016
3.579094e+01	3.255431e-09	21458
3.715394e+01	3.333868e-09	24186
3.856608e+01	3.786099e-09	26624
4.001252e+01	4.155249e-09	29594
4.152447e+01	4.950847e-09	33536
4.309481e+01	5.908227e-09	37166
4.472184e+01	8.113367e-09	41720
4.640771e+01	1.141909e-08	46280
4.814873e+01	1.523434e-08	51536
4.996530e+01	2.379779e-08	58466
5.186883e+01	3.852245e-08	65564
5.382870e+01	6.076926e-08	72080
5.585784e+01	1.053693e-07	81380
5.796330e+01	2.763891e-07	90070
6.014789e+01	1.014866e-06	101516
6.241661e+01	1.804348e-06	112736
6.475781e+01	8.869103e-05	122371
6.720362e+01	1.944442e-08	120908
6.973661e+01	2.702500e-08	118888
7.236853e+01	4.738216e-08	115424
7.510414e+01	9.761323e-08	110068
7.793099e+01	2.347871e-07	101516
8.086411e+01	6.725972e-07	92536
8.390376e+01	2.193919e-06	78532
8.703843e+01	2.005811e-05	62872
9.028366e+01	9.249346e-04	43009
9.369768e+01	6.529093e-07	27262
9.720792e+01	2.580022e-06	16264
1.008311e+02	1.599908e-05	8614
1.044522e+02	1.994088e-04	3046
1.077071e+02	7.247020e-03	550
1.108513e+02	4.566971e+01	1
